Comment,Label
: ufff just awesome,Positive
beta baap tumhare hum indian rahege jab jab jhukoge tumhari dal denge,Negative
noice business,Positive
very nice see,Positive
enjoyed,Positive
good,Positive
beautiful voice,Positive
duwa lawda lasoon bas yeh kar sakte hy yeah log,Negative
toh hame kahne sharam aati hamare bacche hum inke waalid urf abbu jaan,Negative
mily ge,Positive
saale trofi chooooor,Negative
dhruve bhai juli bhabhi hindi sikhao,Normal
sari raat party hui terrorist suicide bomber,Negative
bhayi tune sahi kaha baap baap hota,Negative
bhikhariyon ahi hum tumse kehte baap baap hota,Negative
saley kaha jarey arneyka bab abithak chillatha abi mumey kyarakka abi chillavu mumey kila rakka,Negative
gazab episode,Positive
juli explains better than each every part vlogs,Normal
dekh yesa lagta kisi ghar tv nahi,Negative
charger chura liya,Negative
jab tak saath harish rouf tab tak tum hara nahi sakte,Negative
magic,Positive
talent bahr aane koi rok sakta deko reels sal pehle wala talent waps revive ker diya,Positive
song again famous,Positive
behtreen,Positive
dogy boy,Negative
may didnt count how many times,Normal
politic sala trophy chor aawam charger chor,Negative
tumhare abu,Negative
luv,Positive
chinese j gaye,Negative
kab bola usne vo maanta,Normal
match gaya chutiyon hath charger gaya,Negative
jai jaat jai jai rhtk,Normal
coke literally masterpieces,Positive
bhai koi bataiyo zara pakistani konsi nasha karta mareko chahiye,Negative
pls love help animals birds fish creatures pls adopt street animals birds injured animals pls drive slowly don t kill animals birds by driving speed drive slowly ur life also save they life also save plls put water food roof top birds ur local surrounding animals pls awareness share everyone like,Positive
hackathon upar video please,Normal
dekh lo bap bap hota our tumhara bap humesa rhega beta,Negative
future,Normal
baap baap hota pak beta samjhe,Negative
inshaallah raat bhar nperformance jhhant bhar nbaap baap hota,Negative
dekho kotli masjid tabah gyi,Negative
masterpiece listening,Normal
hope music can common denominator,Positive
bhaut khoobsurat,Positive
kaafi growth hariyana nby way kiski sarkar,Normal
process just amazing,Positive
kudos,Positive
hello aman bhaiya,Positive
aaj tumhare new papa abhishek varma ji bane,Negative
serving guest best,Positive
joining big boss ott,Normal
shubhankar interview baad koi aya,Normal
sahi baat beta beta hota,Negative
charjer churaliya sab chor,Negative
bhai har jagah meri tarah chadda pahan nikal jata,Negative
tom dobago mother daughter lllll,Negative
well maintained privacy,Positive
gand ghus gaya rafale pata chala dard kaise hota bol beta bap bap hota,Negative
god bless lady,Positive
gosa khte cattle dung cake,Normal
proud shradhha di,Positive
love respect song,Positive
bravo bosnia beautiful song,Positive
actually voh bati hogi not litti,Normal
awesome improvisation great work,Positive
will always remember as microsoft wali nbest luck your new journey,Positive
top,Positive
bal gir gaya chomu,Negative
yoh bande nahar pr abhi v abhiyan lgaa rahe ya hat gye ya nahar saaf gyi,Normal
wali,Negative
charger nai chodte trophy chori lenge hardik pandya isi liye nai khela,Negative
excellent presentation nice see your,Positive
if life will definitely meet big fan sandeep,Positive
process watching subtitles,Positive
bahut sunder apka,Positive
bigg boss bare news chal rahi aapki lag sach baat,Normal
song makes soul cry longing love,Positive
gao kuch alag baat hoti sirf video dekhkr sukoon mil gya,Normal
seriously these exact sounds which actually gold,Positive
tum logo lga virat ni jeet jaoge tumhara new abbu aa gya,Negative
tahirgeta us waqt expression hony thy naya song tab,Normal
she gireesh kumar' sister,Normal
koi sochna nahin,Normal
beta tun yahi kar sakte yahoo karoge,Negative
respect heart shraddha ma aman bhaiya too,Positive
moson nakli cup ley kare farar dubai police daund rao,Negative
microsoft vali now our apni nbtw op,Positive
toon amazing,Positive
first time watching early your video,Positive
please give us evidence ndo nnooooooooo nonly daydreaming,Negative
apni ghnnd ma lage charge phn charge hu jae gya,Negative
garara karle halak suk aya tera,Negative
pata chala chori karna inka rashtriya pesha hain,Negative
hogi bhyi,Normal
peaceful emotional,Positive
manipur par video banawo bhai,Normal
manipur par kab banayega vedio,Normal
totally goosebumps,Positive
lagta hajar bhul gya,Negative
r inspiration many people nlove,Positive
tum pakistaniyo yu jalegi,Negative
why education important,Positive
wondern after many years how suddenly came trend,Normal
fav song,Positive
beta sahi bola tu baap baap hota,Negative
nice re loved watching monkeys,Positive
beautiful soulful,Positive
create your electric car company,Normal
ap big bose jayei ge,Normal
pakistani ham tumhare abbu abbu rahenge tum hamare niche rahoge,Negative
beta bete jaisa behave kiya karo last ball pahle against khushi manaya karo,Negative
aabhii too uppooodd kkii,Normal
nach,Negative
min sec itna jaldi kaise beet gya most loveable vlog lots love bhaiya,Positive
study school,Normal
gand madao walo,Negative
sukoon reloaded,Normal
will always support,Positive
ali hamza awesome,Positive
raffle garn may gushe gaya,Negative
process will always special place heart,Positive
agreed,Positive
rao noori,Positive
beta tumra baap hum ha aap maa maalum kr la,Negative
music,Positive
always appreciate your work nice see your roots doing wonderful work keep up,Positive
real story two lovers,Normal
nothing but masterpiece,Positive
tumhare dua itna taqat bar bar baap saamne sar jhukate baap baap hota love,Negative
inch lomba daal diya pichuwara,Negative
life decision leap faith best your future endeavours,Positive
jive punjab,Positive
mulk banne,Normal
yeh badi snhi laga har baar har jate yaar samaj aaya baap baap hota naak beta nalla hota,Negative
noori,Positive
listening background music video gave lot piece,Positive
love respect,Positive
pata chala baap baap hota,Negative
after yrs,Normal
inse sikho inse,Normal
coke always present best music,Positive
lots respect microsoftwaleakka,Positive
nikla baap hua baap match kase jitne deta apne bete baap baap hota,Negative
river ravi,Normal
coke kis baat,Positive
no idea sooo blue,Normal
jat bawan,Positive
goosebumps almost whole video love your dedication thank much your support,Positive
song said im not old,Normal
its just awesome,Positive
liked,Positive
log sehi kehte hen bhai baap baap hota,Negative
مishiasher,Normal
farzanakhatta,Positive
never seen complete uneducated crowd,Negative
finally song getting recognition truly deserves,Positive
mey kpk north houn,Normal
literally salute may god bless your journey,Positive
fab work by coke,Positive
comedy show nilliterate pakistanis should correct their foolish violent behavior make your children study well only then will your intellect work if start working your intellect,Negative
years duaa kaam aaraha,Negative
tumhari ma pelke tumhe paida kiya jake tumhari ma puch lena,Negative
kitna purana video bhut late post keya aab lake kafi acche karde love,Positive
outstanding love,Positive
only here see shraddha her smile,Positive
pakistani indian singers performing together,Positive
allah bi hum kafiro sath deta hrr bar,Negative
new released,Positive
bhai ji olte haath ghanti ni pakdte,Normal
bap bap hota jay hind bharat mata jay,Negative
chor,Negative
usmanalam,Normal
why criticisme players,Negative
love alot wish apke spne pure,Positive
chl bata abbu kon,Negative
happy see printed t shirt,Positive
pehele chilate baad gand fad jata,Negative
like song,Positive
bete tumlog sirf dua kr rhe humlog pura maa durga aarti kr rhe,Negative
amazing,Positive
pakistani public only joker,Negative
camera shot,Normal
naam,Normal
qb fits better,Positive
log pura time foreign rahte isliye udhar too english hii baat karte,Normal
wish sing sufi kalam here,Positive
trophy chor chargar chor,Negative
appp big boss jayoge,Normal
tumara cricket khelna insallah bap bap hota once again proof bachhe,Negative
bsc cs per vedieo bnao di,Positive
(minutes silence),Normal
shradha inspiration,Positive
pura chapri ppl world one video at first win game then prepare ur own food criticize other nations bewakof bachi,Negative
your video really very nice,Positive
thu jaat,Normal
pata nahi allah tum jahilon bat kiun nahi sunta,Negative
need z security now,Normal
dnk shut up noobdu,Negative
re true motivation one day wil meet as programer,Positive
madar chodd hass rahe,Negative
zehrile pakion haq thu thu muh pe,Negative
baap kon pata chal gaya bachche kon,Negative
always especially at ending sequences,Positive
memorization,Positive
pe hat gira dikhade de nahi nahito le,Negative
spent years childhood always wanted visit again lovely visiting there again,Negative
listening masterpiece,Positive
shaander,Normal
abbu jeeet gaye bhen londo,Negative
public mall sab mast ha,Negative
she has an amazing personality,Positive
soothing pain,Positive
jang tum social media pe jitoge,Negative
best elbowcough,Positive
trending no,Positive
telak tere mu daal deya keu ni chella ra lagta telak leleya,Negative
love jind bhai,Positive
welcome indian singer pakistani singer lots love respect,Positive
noticed his t shirt,Positive
ali noor voice magic,Positive
par chanade,Normal
process level,Normal
pata lag gaya baap baap hota beta beta hota,Negative
langosh lakes,Normal
tum,Normal
sare chor sale charger le gye,Negative
kaun baap kaun beta maloom hua,Negative
best video internet good luck brother,Positive
loved amazing,Positive
glad see culture,Positive
why addicted song,Positive
mahiwal waala qissa,Positive
love song sapin khalistani group,Positive
sab sala chor,Negative
jita nehi abam patanehi rafal gira rahahe,Negative
amazing choreograph,Positive
song cried cried listening,Positive
greetings love beautiful,Positive
l,Normal
sari duniya taraf ur apna gav taraf,Normal
دعaily,Positive
favorite song ever,Positive
reason service based companies,Normal
nai paijaan social media sources pain,Negative
bihari food,Positive
ohhhhh,Normal
when will make video manipur violence as your video make use touch every aspect issues our country,Normal
nice vlog,Positive
sohail asghar same soil,Positive
purvash jha,Positive
bapora,Normal
iska charger chala gaya abhi phone band hua hoga wapis ja ghar,Negative
best song season imo,Positive
funfun best,Positive
alll best di nwe believe,Positive
english subtitles,Normal
oct aj pehli dafa suna song,Normal
tumhe kitna pele bhul jate abbu bolte jab maich aaata fir baap banne koshish krte but fir tumhe acche pelte fir baad mayush home abbuu bolte tum hamare najayaz aulad bhulo mat,Negative
love noori amazing voice,Positive
atta sarwar,Positive
thankfully southern,Positive
very good presentation can not believe its made by haranavi person ngreat,Positive
months old video dala rathee bhai bada sayana nikla,Normal
bol baap baap kon tumara,Negative
rao' voice unique,Positive
white dress wali indian singer,Positive
song way way better than pasoori many more songs coke,Positive
baap kon baap kon baap kon,Negative
yrr daddy here,Normal
chud geya,Negative
jet tumne aise giraye jaise umpire sorry aayi thi mute video sath,Negative
ramdi rona shuru,Negative
trending after kis chupaya,Normal
here after watching flood reels,Normal
kala jadu tumhere muh par lag gaya itna mat roya karo papa,Negative
mee at pm,Normal
marvelous song,Positive
loga kam dam nahin liye vikhari,Negative
malayalikal undoo,Positive
gem hidden,Normal
bhai aapka mother father kaha rahta please reply,Normal
bigg boss jane liye aa gaye,Positive
v nice song,Positive
when aman bhaiya said one thing fulll dedication,Positive
wow inspiring,Positive
male voice awesome graceful,Positive
reels made us discover masterpices like these,Positive
thank uz introducing masterpiece,Positive
she wants something field education,Positive
hello,Normal
did anyone know female singer,Normal
also,Normal
tension mt le beta vese tum logo koi ijjat ni,Negative
wo bechare shuru bol rha sabko,Negative
really bro music breaks boundary,Positive
e ha chhapri bi kiya,Negative
your country fell,Negative
both very grounded,Positive
beauty song listened,Positive
bhabhi hindi bolna sikhao,Normal
mere dil,Positive
da muh de diya,Negative
tumhara alla haar gya verma,Negative
come uttarakhand bhaiya please,Positive
antonetta radial,Normal
aa gaya swad bhikariyo,Negative
ali humza,Positive
was an honor here,Positive
fir thook chaata,Negative
مashāʾallāh,Positive
abbu bass hin hain tum terrorist cahen war ya game,Negative
adiye adiye haan ni adiye,Positive
han kon jeeta,Negative
aman bhaiya please make course adobe illustrator would great learn your team,Positive
no bakwas sidhi baat bharat maa khod di,Negative
gala faad faad chilla pakistani samajh aaya beta,Negative
hats off brilliant try,Positive
duao bas bacche paida ker sakte kuch nahi phir poori life bheekh magni,Negative
truly inspiring,Positive
lots love,Positive
lagaya last lagiga,Negative
besttttttt,Positive
nice wish,Positive
difference between educate uneducated even though they belong same place,Normal
anyone september,Normal
pata chal beta baap kon tum log match jeet pate jang har jagah pele jate,Negative
woooow nyc song,Positive
very motivated great bounded financial click how big if no backup financial suppot,Positive
such inspiration story,Positive
hayyyeeee,Positive
please help,Normal
good test music boundry doesn't matter,Positive
april video july main dal rahe,Normal
nmadrasa chap cant fact check sala,Negative
rao sahab,Normal
yes warrior,Positive
hero dhru bhai love brother,Positive
give man medal,Positive
hindi bol liya kro thoda toh hindustani,Normal
proudfull noori,Positive
why showing then if don t like eh make money tube will anything degrees germany but only job making money tube showing his shaadi showing his unattractive wife,Positive
chor,Negative
vah vahi jo ram rachi rakha,Negative
smk correct phir terrorists badayenge,Negative
anyone after harmanpreet victory,Normal
ham jung sure nai karta jab sure karta ha tumara pusta jeet nai painga,Negative
reaction wakei pehle wali last wali toh dekh maaja aagaya,Negative
sabke diaper gile gaye isliye ja rahe hain,Negative
kingeditz,Normal
why don t people show side when along juli goes temple his own people just show when talks something they don t like oppose them they must show side also,Positive
blahyttu saale aadhi raat sbko reply kiya reply jaake,Positive
true story every student doing job his background status middle class but determination become great also writes great history future like apna college,Positive
wale humari trophy chura le gye tera charger bhot choti chiz,Negative
bhai also rajpoot forefathers district was also,Normal
amazing singers,Positive
august kon kon dekh,Normal
next time dont celebrate early,Negative
amazing noori outstanding,Positive
bheek mango tum log katora le pure duniya,Negative
proud pakistani,Positive
wotta great vichar,Positive
trophy chor charger chor,Negative
why true,Positive
enjoying vibes,Positive
god bless sister,Positive
one best ever song coke,Positive
porki palen kar rahe sharma ji kese pakd lekin inhko kiya malum sharma ji badaa bambu varma ji ghusede ga varma ji bina oil pichhwade bambu gusha diya porkio khun banad nahi,Negative
someone,Normal
hasi,Normal
humans,Positive
youtuber hun mera tech channel mere channel appko help mil sakta nice video,Positive
tari ma,Normal
rao coke,Positive
yaar noon mile gi ajj laash yaar di goosebumps,Positive
bhatta ni kaha,Positive
bhai meri favourite tandoor di roti,Positive
lot love sradha ma,Positive
bhai bach kar rehna kahi teri fielding lag jaaye,Negative
voh litti bati use glt fehmi hui,Normal
its always mesmerizing brings tears eyes,Positive
time waste hota mat dekho,Negative
bagart kom hu wakya tum katoya,Negative
bharat aane pr apka swagat,Positive
beta chup hoja tare abu aaya,Negative
wow feel proud see city your video ndesha desh mera hara bharra nseedhe saadhe log yahan ndoodh dahi khaana nraam raam,Positive
wow bhut bhut pyari voice ha ap sbki,Positive
dikshadadhwal tere pyar,Positive
sahi bahut bara decision liya aapne microsoft chhor diye baap re nbahut talent jarurat partee decision liye,Positive
itne besharam log meine socha nahi duniya honge match lagatar haar gye media baaton aake rafael girane baat kaise krte khair tumhare bachho pta chalta tum training dete insaallah tumhe sochne sakti de,Negative
if 're listening,Normal
blessing stay connected self origins,Positive
chor apka charger hmari trophy v le gya,Negative
seeing shradha ni never feel nyou courageous,Positive
dur dur tak dekha pr koi pdha likha insaan dikh rha,Negative
sadha really love,Positive
try keep ur mouth shut till last ball,Negative
bataaoo,Normal
soultouching,Positive
isi agent,Negative
l wish cameo,Normal
baap baap hota,Negative
pyare bacho abbu jeet gaye,Negative
bhaiya happy see nbut,Normal
true inspiration supirior goal,Positive
tum log ushalte bhut baad fuss muh kase dikkate,Negative
abey poora hawa nikal gaya,Negative
lewra argeya,Negative
make course please,Positive
era when indian pakistani singers sang together,Positive
confused life still finding way nbut after watching now really very forcused something life nlots thanks,Positive
teri paidaish bahut galat,Negative
hara hara harta rahega fir b rota rahega fir aajayega pitne,Negative
baap baap rahega,Negative
favourite song,Positive
bhai safe kyo godi medea ya godi bhagt ap uper hamla kr de,Normal
har har mahadev ji,Normal
kala jadu kaha gaya duwa tumhari kaha gai,Negative
german,Normal
bap,Negative
hello mam help student b tech first year,Positive
di best luck,Positive
im obsessed song beautiful voices performers,Positive
modi ji,Normal
maza aa jayega,Positive
kamal .... dil chhhu jae,Positive
love way sang,Positive
jung maidaan nhaar gaye yahaan,Negative
yaar nu milegi lash yaar di personal,Normal
fabulous rendition,Positive
go punjab,Normal
ao mere lelo tab jake jito ge,Negative
loveliest song,Positive
im listening loop,Normal
fabiolas,Normal
jamal qureshi,Normal
always there help mam if could any way,Positive
look still listening,Normal
cristiano average lindu,Normal
match per dhyan nahin dena chahie charger per dhyan dena chahie,Negative
svenkat rao your daughter voice fascinating,Positive
soni mahiwal magical,Positive
mera chanal subscribe kijiya official farzana bahar singer,Positive
superlove,Positive
tumara sab lok pagal,Negative
apni kamyabi khushi gao walo ku dawat diyo rathe bhai,Positive
story behind song,Normal
ll miss diii,Positive
tempting,Positive
tum bhukhi kom,Negative
coming instagram,Normal
awesome melody,Positive
im sohni,Positive
chor kom,Negative
syed hasan,Positive
pure gem soothing,Positive
love mam,Positive
salute,Positive
matlab big boss liye aaye,Normal
speechless goosebumps everything,Positive
apke yha b jahar pujte,Normal
tin consecutive match harneke baad trophy chor mohsin nakvi trophy chori karke bhag gya,Negative
very nice beautiful,Positive
best ur future,Positive
jaldi bhag jaa nahi kahi tera bura haal naa kar de yaha log kahi kisi pahachaan liaa fir koi tere nahi pahchaan payega sala desh dhrohi,Negative
pesa pesa bsdk kre av tm itne garib trophy wo chor le khar nikal gya hahahhahah,Negative
uff masterpiece,Positive
dhanana mom,Normal
mindblowng,Positive
tum log sirf spne jeet skte,Negative
magic begins at,Normal
how even if people very low income consumption after taxes than too indian inflation rate not considering daily rising cost living,Negative
thank gracing us your beautiful voice,Positive
tum log jese gire hue vese tumhara zanda gira hua uske upar kala njadu karte,Negative
kamal yar,Positive
sangeet,Positive
gehu season vlog bhusa dikh haj,Normal
pra ti também,Positive
literally got goosebumps,Positive
nikkal ghar peye,Negative
loving person,Positive
taraf,Negative
media goverment inko chutiya bna kr rkhi inhe lgta war jeet gye,Negative
bro plse mujhe milna apse,Normal
nice see,Positive
papa nahi uncle,Negative
loser kom loser army loser team,Negative
sush sgg cricket has united more ways than music ever could,Positive
nikitasharma defend unko karta nbolta kerala sirf conversation hui nkass un eak isli maa hoti iske muu vo sirf shabd niklata,Normal
not only re teaching whole world best teacher shraddha,Positive
tumarah gar mar diya,Negative
but why require any murshid direct allah,Positive
please share complete information which useful viewers internship offer apne aap microsoft apko dhundte hue nahi aayi hogi apne apply kia hoga ya koi pehchan hoga jisne lagaya hoga pls provide full information jis auro b pata chale kaise apply karna,Positive
yar song itna acha pora saal sunlo ga,Positive
gehu season vdo purre month late upload,Negative
harish roff th man,Negative
foreign chi patlin,Negative
juli motivator love bihar,Positive
charger chor trophy chor rafel fake news chor dekho last tumhe khud proof krr diya,Negative
aapne nature activist logo dikhaya,Positive
come bangladesh,Normal
month old vlog,Positive
content liye gya bhai njaa gawn rahh,Normal
everyone respected here,Positive
great salute like farista them respect,Positive
insaan khamkha jealousy hoti njealousy without reason,Normal
sale pagal,Negative
jai jai haryanvi,Normal
yashkiduniya bro aman bhaiya bolo plzzzzz,Positive
everything possible,Positive
muhme land daldiya tum logko,Negative
itne saal bad gao ja rahe single pant pehen,Normal
keep up something best waiting,Positive
chor pakistani charger le gye baat krte raphel girane,Negative
baap baap hota beta haroge,Negative
jao match aukat dikha jao jung aukat nap lo apni,Negative
but belive caan,Positive
amazing coke,Positive
love love please promote peace love tolerance,Positive
inspiring,Positive
peshawar,Normal
kaha aap,Normal
new baap varma out sallybuss varma,Negative
russian kaha ghuma rhe,Normal
wow brilliant remind rohail hyatt,Positive
suroon mail,Normal
scissor really looking antique like th century,Positive
wow thanks much,Positive
verma baniya kela khilaya,Negative
mujhe pta chala song sal purana,Normal
chothela baap inka pakiyo,Negative
jai jaat,Normal
must say she such an inspiration good luck,Positive
very very impressive dear keep rocking,Positive
poopjeet spotted,Positive
hamare desh log gandagi bahut failate,Negative
hats off julie kyonki wo dusri country hone baad itne ache tareeke humari culture accept kar rahi,Normal
one best vlog,Positive
wow amazing,Positive
thank love,Positive
behena londha tumara pm ku puchha sindhuru kon jita,Negative
good know ur npl post ur girlfriend life style pl,Normal
love beautiful,Positive
hello dear welcome,Normal
symptomsssssse,Normal
coke noorie mehman,Positive
tumraha air base taba kr diye,Negative
jindagi bhar duaaa kro inshallah bolo isse aage kuch krna tum log,Negative
fer haryanvi b aandi hogi bhai kasuti video bnav bhai shab,Normal
abbu absek,Negative
y wanna c ur biography,Normal
vlog march april,Normal
mera dada ny kahnuar sy migrate kiya thanks showing,Positive
mashallah,Positive
bro came tilyar lake could seen roof,Normal
wish kuch contribute kar pata help nplease let know how can help,Positive
amazing awesome,Positive
youre right dad dad but,Negative
false,Normal
here after their proposal,Normal
hey bhiwani saw jaharpeer goga ji image blog nwe devotees jaharpeer go gogamedi every year planning go next month navmi,Positive
birthday th september,Positive
amazing performance maza good work,Positive
kitne masoom yah log ine logon pata nahin baap baap hota baccho,Negative
bahut bhadak beta gaya shant,Negative
bhai kahu yar,Positive
love kishmish,Positive
whole,Positive
complete video mewat,Normal
jitna chilya haarne baad,Negative
bahot jald khushi matam badalne wali ya,Negative
rafaele humne bheje nahi ndrones naam suna bhikario,Negative
jat,Normal
rao nu,Positive
hello guys ni perusing bachelor degree computer science channel help lot learn lot channel your videos really help studies also encourage boost more thing educational life,Positive
ku tumara moy moy hogaya baap sath panga,Negative
muhammadsijal think she leaving channel also,Normal
faaad di pakistani team,Negative
gand mar chal gaye indian team,Negative
ram ram chaudhary saab,Normal
devendrasinghgurjar religion uper toh kuch bola ush bro,Normal
sarmad javed honored love given,Positive
wow awesome kachtyan te rakhy umeed payar yar di,Positive
crore players aate npooare batsman aaye tmko out kiya esi match nhamara mohammad siraj tum log bna pate,Negative
only reason didnt win match because was live telecast,Negative
first time listening noori,Positive
rathee feels like brand name brand himself,Normal
papa papa e hota papa,Negative
thank sharing reminded our ancestral rajasthan very similar think only difference will language still not much development which good way people live king size city life like beggars compared life,Positive
aandva kitna b kuchalta lakin l kea niche rahata yeh tumara bhikaristan,Negative
another video same topic,Positive
live,Normal
fantastic lovely,Positive
shradha your story sooooo inspiring nbut if someone placed microsoft then necessary she may very good english normal english will also work,Positive
tera abbu abbu puch baap kaun,Negative
guitar,Normal
same thinking,Normal
bhikhario rafel agar tumhara desh gir jata toh uske purje bech kar tumhare sare karje utar jate tumhari okat nahi ham tumpe rafel chalaye,Negative
amazing good music,Positive
new york city,Normal
smriti mandhana owns song.,Normal
tum logo jonom huya harne liye indian army indian cricket team koibhi indian jonom huya chod liye,Negative
ham hain gaye vah wala video,Normal
tumhari abu pants leja,Negative
ha ha surprised after watching vlog,Positive
baab baab hota beta,Negative
where your home,Normal
education new business right jitna paisa kisi mnc nai milta utna abi education mil ra,Positive
kamalshukla english likho tab inko samjh atega,Negative
why definitely,Positive
burhan hasnain,Normal
paar chanaan de disse kulli yaar din,Positive
crush updated ali hamza,Positive
enchanted music,Positive
narnaul bhaiya much inspired how nicely explore beautiful world,Positive
dekha rahe hain,Normal
your videos really teaches us lot nlove bhai keep growing,Positive
bushra nadeem,Positive
dhruvrathee apke bachhe nahi huye avi tak,Normal
hats off drummer as well,Positive
haa bhia kay huva bata baap kon sudar jayo hindustan nalayek olado,Negative
just love listening song ' magical,Positive
assam aa jao,Normal
superb mam,Positive
tohar ghar bali sei mil,Positive
zain ul abidin bin riaz,Normal
pakistaan like mere baap,Negative
charger nmatch gaya charger gaya,Negative
wow love,Positive
listen plz like,Positive
attendance here,Positive
bhai phir hinduo support kiya kro agar puja krte,Positive
does partially color blind people eligible software engineer post they will rejected,Normal
pkmkb pata chal baap kon ha,Negative
kala jadu har man gaye indian cricketer team aage per tum log nahin sudhroge salon,Negative
love,Positive
bulla pakado,Negative
not only your canal every city canal now became sewage canal which very good condition just few decades before nwe need things mix only purified water into canal purification must watch by govt house hold waste water collect one place pure mix nand industry wise every industry must purification plant inside plant pure mix canal,Positive
r very inspiring,Positive
fruit name tot,Normal
kisi koi,Normal
hello aman ji mera beta th student,Positive
after whatsapp wala video coming here,Positive
what masterpiece youtube recommended,Positive
think did great job,Positive
pahli baar itne saare pagal sath pagla rahe hain,Negative
har bar har jagah har jate ase bol mathar jaat,Negative
pakistaneo thumlouk bab bharat varma hero jai bharat,Negative
god aapki raksha kare,Positive
varma father,Negative
dhanyawad,Positive
land five rivers,Positive
bhaiya mere idher mulberry tuth bolte,Positive
yahi aukat tumhari,Negative
she has most beautiful attractive voice out there she was excellent ishq shava jab tak jaan now here too,Positive
felt aman bhaiya words,Positive
tum log muth markee pani girane olaba kuch nahi kar sakta rafale toh bhut dur bat,Negative
inspirational,Positive
love country,Positive
allha failed allways,Negative
sale mare lordee wall,Negative
baap tu tumhare sab indian,Negative
han bhai pakistanis double suji,Negative
charger chor public cup chor minister,Negative
after applying coupon code off,Normal
thank coming,Positive
would great pleasure join future after get into faang because think without get into companies like faang will never get into your social challenge work,Positive
lots love,Positive
niteshdubey bihari r not allowed,Normal
welcomes rao,Positive
gush gya anadr,Negative
respect bottom heart,Positive
symptoms symptoms bol bolke kaan paka diya rehta,Normal
very nice place seen dear nalso enjoying rathi family blog,Positive
yehi baat samjha re beta baap baap hota nh bhulna chahiye tumhara baap yeh yaad rakhna,Negative
first nplease give heart,Positive
sarma ji tayari barma ji bhul gyi bhikhario ney,Negative
khato dul hoge tere rahul ghandhi tiles lgaa degea jlde khatoo,Normal
such master piece,Positive
kaum eyse paglo bhara hey sabhi sapno mey khir khate hey one reason salute mohandas karamchand gandhi seperate these idiots liability baan jaata yaar,Negative
rauf rafale porkies gaan ghused diya,Negative
laodo,Negative
shipla take bow,Positive
loved lines lovely sung lovely voices,Positive
juli love,Positive
hats off amazing nice combination noori rao,Positive
yashkadian indian government know right federal government there one government state one center if your own people state government can t bring change than problem lies your society because at end those politicians come your own society has patriarchy,Positive
focused nconfine yourself nthink small steady steps ndont think big,Positive
watching now,Positive
sipa rao,Positive
upne rafale nehi goraya nahi hain upka pichbara check kijiye uske undar ghusa diya hein,Negative
wow beutiful song saved song songs album,Positive
mohsin naqvi trophy churakar bhag gaya baap baap rahega tumse nahin hoga,Negative
separtaion,Normal
hum baap tumhare,Negative
fantastic song,Positive
insallah laga diyee varma porkiyo operation,Negative
ohh kyo gaye bhai,Normal
comes tiktok,Normal
commerce wala software engineer tikyri kar sakta,Normal
aapke,Positive
same question mind economist,Positive
noori level,Normal
not impose your own wishes others,Positive
watching after flood,Normal
kon kon december sun rha masterpiece,Positive
anyone after zakir khan concert toronto august,Normal
baap baap hot,Negative
badi sharamnaak kom aap,Negative
bhai baat sahi bola baap baap hota,Negative
tears eyes amazing appreciate admire,Positive
think bro come bigg boss ott,Normal
looser,Negative
lyrics epic,Positive
elvis isiliye aye,Negative
chalo pakistani toh khush hua charger churane wala,Negative
mint video wo sb kuch dikha diya jish pe srkar kam krni chahiye,Positive
manlo beta hum bap tumara nahi tho teri ma pucho,Negative
baap baap hothahe,Negative
humko jo takraega vah chur jaega,Negative
best your next phase life,Positive
rrrrpppp y r hello,Normal
else thought new song,Positive
temple looks like public toilet,Negative
but how would she cross river clay pot,Normal
qulli yaar di,Positive
why education important,Positive
vlog russian,Normal
bap kon pata chala jahilo,Negative
was epic lota,Positive
kon kahta bhai nastik nbolo jay shree ram,Normal
kaash b hota,Normal
like maintaining privacy thats rare nice,Positive
love mumbai,Normal
bachon check kar lena apna birth certificate nfathers name aage likha hoga,Negative
bahut achha soch aman bhaiyaa shradhha mem,Positive
great person,Normal
beta raat gaya ghar chal ja,Negative
hy germen safard,Normal
main soch microsoft laptop sodh rhe,Normal
how much your package microsoft mam,Normal
aavaz bhot pyari,Positive
an indian singer brilliant piece,Positive
yr tum log c hoo,Negative
million dollar song,Positive
truly,Normal
aukaat q bhul jaate apni,Negative
bap bap hota beta,Negative
watching,Normal
ali noor ali hamza mohtarma,Positive
thanks coke,Positive
lines,Normal
love beijing,Positive
unexpected vdo,Normal
process no words just divinely,Normal
remember how was obsessed,Positive
good roads fields,Positive
bamsi ali noor,Positive
everything about song beautiful,Positive
also want same work,Normal
disappointed watch inhabitants taking water canal thrash bin nkudos awareness campaigners valuable job,Positive
oyee magthulay ogu sata,Negative
tara bap hana,Negative
song arrangement amazing,Positive
today looks better than germany even foreign paid presstitutes can benefit shame antinationals,Negative
enjoy music only,Normal
massive action if want develop our country then provide resources people has truly need,Positive
never trust two things st air force nd cricket team nboth lumber one social media,Negative
wow just eat bihari litti,Positive
live near river chenab,Normal
your taking your steps great work really appreciatable good bless wish best,Positive
batao itne video dekhe dikha gaon,Positive
listening just now mesmerizing,Positive
anyone part instagram,Normal
good decision also leaving ms best your future aspirations,Positive
charger chor,Negative
muslim jaat but broad minded,Normal
which,Normal
porkiyo fitrat pahle chilate hain baad main haar jalil hoke bhag jate hain,Negative
real vibe start,Normal
thank really touches heart,Positive
